"code","load_date","date_index","market_open","market_previous_close","market_day_high","market_day_low","market_price","market_volume","target_low_price","target_high_price","target_median_price","target_mean_price","number_of_analyst","recommendation_mean","tailing_pe","forward_pe","average_volume","ask","ask_size","bid","bid_size","enterprise_revenue","profit_margins","enterprise_ebitda","quarterly_earning_growth","short_position","total_in_issue","reported_position"
"AHG.AX","2018-06-01","1","2.78","2.78","2.81","2.76","2.78","1088402","3","4","3.33","3.42","10","2.6","15.977012","11.12","1031926","2.79","0","2.78","0","0.355","0.00916","11.317","0.052","18238584","331623014","5.49979441"
"AHG.AX","2018-06-04","2","2.79","2.78","2.81","2.76","2.79","411458","3","4","3.33","3.42","10","2.6","16.034483","11.16","1030865","2.79","0","2.78","0","0.355","0.00916","11.317","0.052","17838559","331623014","5.37916799"
"AHG.AX","2018-06-05","3","2.77","2.79","2.81","2.75","2.79","554755","3","4","3.33","3.42","10","2.6","16.034483","11.16","1021559","2.79","0","2.78","0","0.355","0.00916","11.317","0.052","18896200","331623014","5.69809669"
"AHG.AX","2018-06-06","4","2.8","2.79","2.84","2.785","2.81","1051831","2.9","4","3.32","3.34","9","2.6","16.149426","11.708333","1014760","2.81","0","2.8","0","0.355","0.00916","11.317","0.052","18889696","331623014","5.69613543"
"AHG.AX","2018-06-07","5","2.81","2.81","2.885","2.81","2.85","642451","2.9","4","3.32","3.34","9","2.6","16.37931","11.875","1011738","2.86","0","2.84","0","0.355","0.00916","11.317","0.052","19077427","331623014","5.75274519"
"AHG.AX","2018-06-08","6","2.87","2.85","2.9","2.84","2.87","596581","2.9","4","3.32","3.34","9","2.6","16.494253","11.958333","973848","2.88","0","2.87","0","0.355","0.00916","11.317","0.052","19002684","331623014","5.73020665"
"AHG.AX","2018-06-11","7","2.87","2.85","2.9","2.84","2.87","596581","2.9","4","3.32","3.34","9","2.6","16.494253","11.958333","960696","2.91","0","2.85","0","0.355","0.00916","11.317","0.052","19002684","331623014","5.73020665"
"AHG.AX","2018-06-12","8","2.87","2.87","2.92","2.86","2.87","1045472","2.9","4","3.32","3.34","9","2.6","16.494253","11.958333","946140","2.89","0","2.87","0","0.354","0.00916","11.3","0.052","18907677","331623014","5.70155755"
"AHG.AX","2018-06-13","9","2.86","2.87","2.88","2.785","2.81","817935","2.9","4","3.32","3.34","9","2.6","16.149426","11.708333","951976","2.81","0","2.8","0","0.355","0.00916","11.317","0.052","18860942","331623014","5.68746474"
"AHG.AX","2018-06-14","10","2.79","2.81","2.84","2.76","2.78","868409","2.9","4","3.32","3.34","9","2.6","15.977012","11.583333","955056","2.78","0","2.77","0","0.354","0.00916","11.3","0.052","18342903","331623014","5.53125152"
"AHG.AX","2018-06-15","11","2.79","2.78","2.81","2.74","2.78","3435172","2.9","4","3.32","3.34","9","2.6","15.977012","11.583333","957138","2.78","0","2.77","0","0.354","0.00916","11.3","0.052","18477508","331623014","5.57184128"
"AHG.AX","2018-06-18","12","2.78","2.78","2.84","2.76","2.82","774876","2.9","4","3.32","3.34","9","2.6","16.206896","11.75","968253","2.82","0","2.81","0","0.318","0.00916","10.137","0.052","18225015","331623014","5.49570272"
"AHG.AX","2018-06-19","13","2.84","2.82","2.855","2.76","2.77","622875","2.9","4","3.32","3.34","9","2.6","15.91954","11.541667","965323","2.78","0","2.77","0","0.318","0.00916","10.137","0.052","18147656","331623014","5.47237533"
"AHG.AX","2018-06-20","14","2.78","2.77","2.82","2.78","2.8","436610","2.9","4","3.32","3.34","9","2.6","16.091953","11.666667","960699","2.66","0","2.94","0","0.318","0.00916","10.137","0.052","18072700","331623014","5.44977255"
"AHG.AX","2018-06-21","15","2.79","2.8","2.92","2.79","2.9","2088279","2.9","4","3.32","3.34","9","2.6","16.666668","12.083334","955141","2.91","0","2.9","0","0.318","0.00916","10.137","0.052","17513952","331623014","5.28128364"
"AHG.AX","2018-06-22","16","2.88","2.9","2.93","2.82","2.82","2148972","2.9","4","3.32","3.34","9","2.6","16.206896","11.75","967846","2.88","0","2.81","0","0.318","0.00916","10.137","0.052","17215820","331623014","5.19138277"
"AHG.AX","2018-06-25","17","2.85","2.82","2.9","2.83","2.87","1014664","2.9","4","3.32","3.34","9","2.6","16.494253","11.958333","992278","2.87","0","2.86","0","0.32","0.00916","10.205","0.052","16972538","331623014","5.11802175"
